empresa_id,camara,rubro,url_ficha
169,CAPEMISA,Ingeniería,https://capemisa.com.ar/socio/var-s-r-l/
170,CAPEMISA,Insumos,https://capemisa.com.ar/socio/a-a-fluids-control-s-r-l/
171,CAPEMISA,Insumos,https://capemisa.com.ar/socio/a-b-construcciones-s-r-l/
172,CAPEMISA,Insumos,https://capemisa.com.ar/socio/agro-supplies-s-r-l/
173,CAPEMISA,Insumos,https://capemisa.com.ar/socio/alvear-s-a-s/
174,CAPEMISA,Insumos,https://capemisa.com.ar/socio/arsus-s-a-s/
175,CAPEMISA,Insumos,https://capemisa.com.ar/socio/bm-mineria-salta-s-a-s/
176,CAPEMISA,Insumos,https://capemisa.com.ar/socio/bollini-s-a/
177,CAPEMISA,Insumos,https://capemisa.com.ar/socio/bp-sa/
178,CAPEMISA,Insumos,https://capemisa.com.ar/socio/carlos-flores-s-h/
179,CAPEMISA,Insumos,https://capemisa.com.ar/socio/clicer-s-a-s/
180,CAPEMISA,Insumos,https://capemisa.com.ar/socio/corralon-cedroran-s-r-l/
181,CAPEMISA,Insumos,https://capemisa.com.ar/socio/corralon-la-tablada/
182,CAPEMISA,Insumos,https://capemisa.com.ar/socio/crausaz-s-r-l/
183,CAPEMISA,Insumos,https://capemisa.com.ar/socio/distribuidora-jj-plast/
184,CAPEMISA,Insumos,https://capemisa.com.ar/socio/el-arca-de-noe/
185,CAPEMISA,Insumos,https://capemisa.com.ar/socio/fernandez-insua-s-a/
186,CAPEMISA,Insumos,https://capemisa.com.ar/socio/ferreteria-gay/
187,CAPEMISA,Insumos,https://capemisa.com.ar/socio/ferreteria-industrial-norte-hidraulica-norte/
188,CAPEMISA,Insumos,https://capemisa.com.ar/socio/ferrinor-s-a-s/
189,CAPEMISA,Insumos,https://capemisa.com.ar/socio/fertel-sa/
190,CAPEMISA,Insumos,https://capemisa.com.ar/socio/gof-soluciones-constructivas-s-r-l/
191,CAPEMISA,Insumos,https://capemisa.com.ar/socio/grupo-nc-s-a-s/
192,CAPEMISA,Insumos,https://capemisa.com.ar/socio/hierronort-s-r-l/
193,CAPEMISA,Insumos,https://capemisa.com.ar/socio/implementos-industriales-srl/
194,CAPEMISA,Insumos,https://capemisa.com.ar/socio/ingenieria-electrica-s-a-s/
195,CAPEMISA,Insumos,https://capemisa.com.ar/socio/lopez-diesel-sa/
196,CAPEMISA,Insumos,https://capemisa.com.ar/socio/luxing-s-r-l/
197,CAPEMISA,Insumos,https://capemisa.com.ar/socio/mar-andino-s-a-s/
197,CAPEMISA,Servicios,https://capemisa.com.ar/socio/mar-andino-s-a-s/
198,CAPEMISA,Insumos,https://capemisa.com.ar/socio/master-clean-s-a/
199,CAPEMISA,Insumos,https://capemisa.com.ar/socio/mundo-pack-s-r-l/
199,UIS,Ind. Gráfica,https://uis.com.ar/socios/mundo-pack/
200,CAPEMISA,Insumos,https://capemisa.com.ar/socio/productos-quimicos-s-r-l/
201,CAPEMISA,Insumos,https://capemisa.com.ar/socio/salta-plast-polietilenos-s-r-l/
202,CAPEMISA,Insumos,https://capemisa.com.ar/socio/san-juan-electricidad/
203,CAPEMISA,Insumos,https://capemisa.com.ar/socio/segufer-s-a/
204,CAPEMISA,Insumos,https://capemisa.com.ar/socio/velez-la-bulonera/
205,CAPEMISA,Insumos,https://capemisa.com.ar/socio/ypf-sa/
206,CAPEMISA,Logística,https://capemisa.com.ar/socio/aramis-s-a-s/
206,CAPEMISA,Servicios,https://capemisa.com.ar/socio/aramis-s-a-s/
207,CAPEMISA,Logística,https://capemisa.com.ar/socio/centro-distribuidor-s-a/
208,CAPEMISA,Logística,https://capemisa.com.ar/socio/cuenca-del-pilcomayo-s-r-l/
209,CAPEMISA,Logística,https://capemisa.com.ar/socio/flytec/
210,CAPEMISA,Logística,https://capemisa.com.ar/socio/gye-s-a/
211,CAPEMISA,Logística,https://capemisa.com.ar/socio/hjsp-s-a-s/
212,CAPEMISA,Logística,https://capemisa.com.ar/socio/la-veloz-del-norte-s-a/
212,CAPEMISA,Servicios,https://capemisa.com.ar/socio/la-veloz-del-norte-s-a/
213,CAPEMISA,Logística,https://capemisa.com.ar/socio/logistica-cn-grupo-s-a/
214,CAPEMISA,Logística,https://capemisa.com.ar/socio/logistica-del-alto-s-r-l/
215,CAPEMISA,Logística,https://capemisa.com.ar/socio/logistica-minera/
216,CAPEMISA,Logística,https://capemisa.com.ar/socio/logistica-salta/
217,CAPEMISA,Logística,https://capemisa.com.ar/socio/logistica-y-servicios-ambientales-s-r-l/
218,CAPEMISA,Logística,https://capemisa.com.ar/socio/m-logistica-y-distribucion-s-r-l/
219,CAPEMISA,Logística,https://capemisa.com.ar/socio/petroandina/
219,UIS,Ind. Petroquímica,https://uis.com.ar/socios/petroandina-s-r-l/
220,CAPEMISA,Logística,https://capemisa.com.ar/socio/royal-logistic-s-r-l/
221,CAPEMISA,Logística,https://capemisa.com.ar/socio/servinorte-s-r-l/
222,CAPEMISA,Logística,https://capemisa.com.ar/socio/smart-waste-s-a-s/
223,CAPEMISA,Logística,https://capemisa.com.ar/socio/solaris-s-r-l/
224,CAPEMISA,Logística,https://capemisa.com.ar/socio/tranor-s-a/
225,CAPEMISA,Logística,https://capemisa.com.ar/socio/trans-gon-s-r-l/
226,CAPEMISA,Logística,https://capemisa.com.ar/socio/transporte-antonini-s-r-l/
